Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
Огнестрельное оружие для стрельбы...,https://yandex.ru/patents/doc/RU99111962A_20010427,RU99111962A,,1997.10.23,2001.04.27
Пуля для пневматического оружия,https://yandex.ru/patents/doc/RU165259U1_20161010,RU165259U1,Литинская Анна Юрьевна (UA),2015.09.28,2016.10.10
Ударно-спусковой модуль стрелкового оружия,https://yandex.ru/patents/doc/RU2717611C1_20200324,RU2717611C1,Соснин Валерий Иванович (RU),2019.04.29,2020.03.24
Привод тормоза подъемного механизма оружия,https://yandex.ru/patents/doc/RU2089816C1_19970910,RU2089816C1,Бровкин Б.Н.,1992.05.05,1997.09.10
Автоматическое стрелковое оружие МАГ-3,https://yandex.ru/patents/doc/RU2012117665A_20140227,RU2012117665A,,2012.04.27,2014.02.27
Многоразовая пуля для пневматического...,https://yandex.ru/patents/doc/RU18100U1_20010520,RU18100U1,Зеленов В.К.,2000.06.07,2001.05.20
Пневматическое огнестрельное оружие,https://yandex.ru/patents/doc/RU98111496A_20000427,RU98111496A,,1998.07.15,2000.04.27
Узел крепления отделяемого ствола огнестрельного...,https://yandex.ru/patents/doc/RU197677U1_20200521,RU197677U1,Дронов Евгений Анатольевич (RU),2019.12.25,2020.05.21
Способы определения точки наведения оружия...,https://yandex.ru/patents/doc/RU2627019C2_20170802,RU2627019C2,Соколов Валерий Николаевич (RU),2015.12.11,2017.08.02
Пуля для стрелкового оружия,https://yandex.ru/patents/doc/RU2562471C1_20150910,RU2562471C1,Ерашев Иван Иванович (RU),2014.08.13,2015.09.10
Запирающий механизм самозарядного оружия,https://yandex.ru/patents/doc/SU695278A1_19991220,SU695278A1,,1977.03.09,1999.12.20
Оптический прицел для стрелкового оружия,https://yandex.ru/patents/doc/RU23968U1_20020720,RU23968U1,Соловьев А.Н.,2002.02.20,2002.07.20
"Приставка для ночного видения, устанавливаемая...",https://yandex.ru/patents/doc/RU2008144186A_20100520,RU2008144186A,,2007.04.04,2010.05.20
Оптический прицел для стрелкового оружия,https://yandex.ru/patents/doc/RU2054855C2_19960220,RU2054855C2,Соловьев Александр Николаевич,1994.07.29,1996.02.20
Способ установления очередности выстрела из...,https://yandex.ru/patents/doc/RU2010786C1_19940415,RU2010786C1,Попов В.Л.,1991.05.17,1994.04.15
Двуоболочечная бронебойная пуля для нарезного...,https://yandex.ru/patents/doc/RU2717325C1_20200320,RU2717325C1,Пивень Павел Владиславович (RU),2019.03.11,2020.03.20
Приклад регулируемой длины в сборе для...,https://yandex.ru/patents/doc/RU2751375C1_20210713,RU2751375C1,"ТАЙ-ЛАЙ, Динг (US)",2021.01.13,2021.07.13
Затвор стрелкового оружия,https://yandex.ru/patents/doc/SU536761A3_19761125,SU536761A3,,1974.01.18,1976.11.25
"Устройство, определяющее угловые координаты места...",https://yandex.ru/patents/doc/RU2359207C2_20090620,RU2359207C2,Хабибулин Анатолий Евгеньевич (RU),2007.08.23,2009.06.20
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU2591542C2_20160720,RU2591542C2,,2014.12.05,2016.07.20
Газовая камера для подводного огнестрельного...,https://yandex.ru/patents/doc/SU1831070A1_19950310,SU1831070A1,,1979.03.13,1995.03.10
Способ уменьшения усилия отдачи огнестрельного...,https://yandex.ru/patents/doc/RU2736305C1_20201113,RU2736305C1,Палецких Владимир Михайлович (RU),2019.12.10,2020.11.13
Имитатор ручного оружия для тренировки...,https://yandex.ru/patents/doc/SU1646559A1_19910507,SU1646559A1,,1989.05.31,1991.05.07
Устройство крепления ложа для ручного...,https://yandex.ru/patents/doc/RU2509974C1_20140320,RU2509974C1,КЛОТЦ Маттиас (DE),2012.10.01,2014.03.20
Способ обучения производству стрельбы из...,https://yandex.ru/patents/doc/RU2213319C1_20030927,RU2213319C1,Михеев В.А.,2002.02.04,2003.09.27
Патрон для пневматического и пневмоогнестрельного...,https://yandex.ru/patents/doc/RU2278029C1_20060620,RU2278029C1,Пуков Валерий Николаевич (RU),2004.12.14,2006.06.20
Колодка прицела с планкой для установки...,https://yandex.ru/patents/doc/RU2018125766A_20200826,RU2018125766A,,2019.02.26,2020.08.26
Механизм блокировки рычага взведения в...,https://yandex.ru/patents/doc/RU2003030C1_19931115,RU2003030C1,Мурадов Эпикур Пантелеевич,1991.02.07,1993.11.15
Система глушителя для огнестрельного оружия,https://yandex.ru/patents/doc/RU2765508C2_20220131,RU2765508C2,"КАДА, Кристиан (AT)",2018.12.18,2022.01.31
Система защиты охраняемых объектов от...,https://yandex.ru/patents/doc/SU1619833A1_20000127,SU1619833A1,,1988.11.01,2000.01.27
Устройство для подводной стрельбы из...,https://yandex.ru/patents/doc/RU113346U1_20120210,RU113346U1,Половнев Андрей Альбертович (RU),2011.03.21,2012.02.10
Ствол спортивного оружия,https://yandex.ru/patents/doc/RU2659177C1_20180628,RU2659177C1,Киреев Николай Николаевич (RU),2017.01.26,2018.06.28
Съемная мушка охотничьего оружия для...,https://yandex.ru/patents/doc/RU26340U1_20021127,RU26340U1,Кочидыков В.Н.,2002.04.02,2002.11.27
"Пуля для гладкоствольного оружия ""Sss""",https://yandex.ru/patents/doc/RU87250U8_20091220,RU87250U8,Васильев Игорь Владимирович (RU),2008.12.04,2009.12.20
Кумулятивный снаряд к нарезному оружию,https://yandex.ru/patents/doc/RU202738U1_20210303,RU202738U1,Гуськов Анатолий Васильевич (RU),2020.10.14,2021.03.03
Устройство и способ для термической компенсации...,https://yandex.ru/patents/doc/RU2560959C2_20150820,RU2560959C2,БРУННЕР Доминик (CH),2012.06.04,2015.08.20
"Автоматический прицел для ручного оружия,...",https://yandex.ru/patents/doc/SU14773A1_19300331,SU14773A1,,1929.03.09,1930.03.31
Устройство для определения угловых координат...,https://yandex.ru/patents/doc/RU2366888C2_20090910,RU2366888C2,Хабибулин Анатолий Евгеньевич (RU),2007.08.23,2009.09.10
Компенсатор для стрелкового оружия,https://yandex.ru/patents/doc/SU484773A2_19810923,SU484773A2,,1974.03.11,1981.09.23
Тракт питания для автоматического оружия,https://yandex.ru/patents/doc/RU2113673C1_19980620,RU2113673C1,Алтунин В.И.,1988.05.16,1998.06.20
Механизм автоматического переключения секций...,https://yandex.ru/patents/doc/RU1524U1_19960116,RU1524U1,Пеленев Вячеслав Павлович,1994.01.10,1996.01.16
"Устройство для маркировки труб, преимущественно...",https://yandex.ru/patents/doc/RU2015487C1_19940630,RU2015487C1,Бодня В.И.,1992.07.14,1994.06.30
Автоматика стрелкового оружия,https://yandex.ru/patents/doc/RU2658480C2_20180621,RU2658480C2,Ростовщиков Лев Федорович (RU),2016.11.08,2018.06.21
Ручное огнестрельное оружие со...,https://yandex.ru/patents/doc/RU97114721A_19981227,RU97114721A,,1997.09.02,1998.12.27
Конструктивно сходное с пневматическим...,https://yandex.ru/patents/doc/RU2759063C1_20211109,RU2759063C1,Афанасьев Иван Алексеевич (RU),2021.05.12,2021.11.09
Способ изготовления блоков лейнированных стволов...,https://yandex.ru/patents/doc/SU205653A1_19671113,SU205653A1,,1966.01.03,1967.11.13
Пуля для стрелкового оружия,https://yandex.ru/patents/doc/RU2110761C1_19980510,RU2110761C1,Тихонов В.П.,1997.04.10,1998.05.10
Механизм фиксации магазина стрелкового...,https://yandex.ru/patents/doc/RU2191962C1_20021027,RU2191962C1,Казаков А.В.,2001.10.08,2002.10.27
Спусковой механизм для одиночной стрельбы из...,https://yandex.ru/patents/doc/SU67353A1_19460101,SU67353A1,,1945.04.03,1946.01.01
Снаряжатель патронов для коробчатых магазинов...,https://yandex.ru/patents/doc/RU158412U1_20151227,RU158412U1,Ярыгин Владимир Александрович (RU),2015.07.31,2015.12.27
Предохранитель спускового крючка стрелкового...,https://yandex.ru/patents/doc/SU676063A1_19870923,SU676063A1,,1977.07.11,1987.09.23
Предохранительное устройство для стрелкового...,https://yandex.ru/patents/doc/SU1637480A1_20000710,SU1637480A1,,1989.10.03,2000.07.10
Крышка емкости сжатого газа пневматического...,https://yandex.ru/patents/doc/SU443246A1_19740915,SU443246A1,,1972.11.30,1974.09.15
Пуля к патрону для стрельбы из бесшумного...,https://yandex.ru/patents/doc/RU172861U1_20170728,RU172861U1,Синюгин Анатолий Иванович (RU),2017.01.11,2017.07.28
Безгильзовый патрон для огнестрельного...,https://yandex.ru/patents/doc/RU2072093C1_19970120,RU2072093C1,Головач Вадим Александрович,1994.09.27,1997.01.20
Ударно-спусковой механизм автоматического...,https://yandex.ru/patents/doc/RU93018791A_19950920,RU93018791A,,1993.04.12,1995.09.20
Газовая камера для подводного огнестрельного...,https://yandex.ru/patents/doc/SU1826683A1_19950327,SU1826683A1,,1973.02.28,1995.03.27
Устройство для быстрой смены магазина ручного...,https://yandex.ru/patents/doc/RU2729138C1_20200804,RU2729138C1,Колмаков Александр Алексеевич (RU),2020.02.24,2020.08.04
Спусковой механизм спортивно-охотничьего...,https://yandex.ru/patents/doc/SU859788A1_19810830,SU859788A1,,1979.03.20,1981.08.30
Система стабилизации прицельной пространственной...,https://yandex.ru/patents/doc/RU104688U1_20110520,RU104688U1,Леонов Юрий Владимирович (RU),2010.11.08,2011.05.20
Ударно-спусковой механизм оружия,https://yandex.ru/patents/doc/RU3321U1_19961216,RU3321U1,Вотяков В.П.,1994.10.04,1996.12.16
Вкладной ствол для гладкоствольного оружия,https://yandex.ru/patents/doc/RU93034150A_19961220,RU93034150A,,1993.07.01,1996.12.20
Высоковольтный коммутатор дистанционного...,https://yandex.ru/patents/doc/RU2716880C1_20200317,RU2716880C1,Ладягин Юрий Олегович (RU),2019.04.24,2020.03.17
Пуля для гладкоствольного оружия,https://yandex.ru/patents/doc/RU2128321C1_19990327,RU2128321C1,Кулагин В.И.,1996.08.29,1999.03.27
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU2372579C1_20091110,RU2372579C1,Захарьящев Валерий Васильевич (RU),2008.09.10,2009.11.10
Устройство крепления магазина в оружии,https://yandex.ru/patents/doc/SU1785322A1_20000710,SU1785322A1,,1990.08.09,2000.07.10
"Способ ведения боевых действий, система...",https://yandex.ru/patents/doc/RU2005127400A_20070310,RU2005127400A,,2005.08.31,2007.03.10
Шибер для повышения ресурса работы отбойника...,https://yandex.ru/patents/doc/RU189895U1_20190607,RU189895U1,Капашин Валерий Петрович (RU),2019.04.02,2019.06.07
"Стрелковое оружие, конструкция которого...",https://yandex.ru/patents/doc/RU2006143702A_20080620,RU2006143702A,,2006.12.08,2008.06.20
Ложа огнестрельного оружия,https://yandex.ru/patents/doc/RU2341754C2_20081220,RU2341754C2,Уильям Пенти Гудер (NZ),2003.12.02,2008.12.20
Массогабаритный макет стрелкового оружия...,https://yandex.ru/patents/doc/RU23099U1_20020520,RU23099U1,Паранин В.Н.,2001.09.24,2002.05.20
Зажим для фиксации оружия,https://yandex.ru/patents/doc/RU154020U1_20150810,RU154020U1,Шуленин Герман Анатольевич (RU),2015.04.07,2015.08.10
Запирающий механизм к автоматическому...,https://yandex.ru/patents/doc/SU18148A1_19300930,SU18148A1,,1927.02.24,1930.09.30
Патрон очищающий для стрелкового оружия,https://yandex.ru/patents/doc/RU201059U1_20201125,RU201059U1,Асалхаев Никита Александрович (RU),2020.08.03,2020.11.25
Механизм подачи патронов для автоматического...,https://yandex.ru/patents/doc/RU2422747C1_20110627,RU2422747C1,Громов Владимир Вячеславович (RU),2010.04.05,2011.06.27
Реактивный снаряд для ручного оружия,https://yandex.ru/patents/doc/RU2414675C2_20110320,RU2414675C2,Герасимовский Владимир Владимирович (RU),2009.06.01,2011.03.20
Сопло пневматического цилиндра...,https://yandex.ru/patents/doc/RU187945U1_20190325,RU187945U1,Шалаев Михаил Александрович (RU),2018.11.26,2019.03.25
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU2166173C1_20010427,RU2166173C1,Вытягов Б.Н.,1999.10.08,2001.04.27
Патрон стрелкового оружия для подводной...,https://yandex.ru/patents/doc/RU2122176C1_19981120,RU2122176C1,Зубачев В.И.,1997.12.08,1998.11.20
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU2117909C1_19980820,RU2117909C1,Вытягов Б.Н.,1997.10.14,1998.08.20
Запирающий механизм спортивно-охотничьего...,https://yandex.ru/patents/doc/SU974091A2_19821115,SU974091A2,,1981.05.20,1982.11.15
Механизм перезаряжания автоматического...,https://yandex.ru/patents/doc/RU152000U1_20150427,RU152000U1,Рожко Владимир Григорьевич (RU),2014.08.25,2015.04.27
Устройство для снаряжения магазинов стрелкового...,https://yandex.ru/patents/doc/SU1682749A1_19911007,SU1682749A1,,1989.09.07,1991.10.07
Подъемный механизм оружия,https://yandex.ru/patents/doc/RU2241194C1_20041127,RU2241194C1,Бровкин Б.Н. (RU),2003.08.14,2004.11.27
Ударно-спусковой механизм для охотничьего и...,https://yandex.ru/patents/doc/SU427224A1_19740505,SU427224A1,,1972.07.11,1974.05.05
Красящий фиксатор уколов на колющем оружии...,https://yandex.ru/patents/doc/SU104652A1_19560101,SU104652A1,,1956.02.03,1956.01.01
Пуля патрона стрелкового оружия,https://yandex.ru/patents/doc/RU2245508C2_20050127,RU2245508C2,Бальцер А.В. (RU),2003.02.17,2005.01.27
Соединение шарнира со стволом в...,https://yandex.ru/patents/doc/SU1137868A1_19870923,SU1137868A1,,1983.12.28,1987.09.23
Система автоматического безгильзового...,https://yandex.ru/patents/doc/RU2122170C1_19981120,RU2122170C1,Цветков С.А.,1997.09.18,1998.11.20
Способ имитации стрельбы изстрелкового...,https://yandex.ru/patents/doc/SU509766A1_19760405,SU509766A1,,1974.05.12,1976.04.05
Способ работы беспатронного автоматического...,https://yandex.ru/patents/doc/RU2714956C1_20200221,RU2714956C1,Казаковцев Василий Александрович (RU),2018.09.10,2020.02.21
Магазин стрелкового оружия,https://yandex.ru/patents/doc/RU195835U1_20200206,RU195835U1,Яппаров Линар Рамилович (RU),2019.10.25,2020.02.06
Сошка стрелкового оружия,https://yandex.ru/patents/doc/RU2533861C1_20141120,RU2533861C1,Громов Владимир Вячеславович (RU),2013.08.21,2014.11.20
Автоматика стрелкового оружия,https://yandex.ru/patents/doc/RU2567325C2_20151110,RU2567325C2,Ростовщиков Лев Фёдорович (RU),2014.03.06,2015.11.10
Возвратный механизм стрелкового оружия,https://yandex.ru/patents/doc/RU212404U1_20220721,RU212404U1,Лебедев Дмитрий Иванович (RU),2022.03.28,2022.07.21
Эжекторный механизм спортивноохотничьего...,https://yandex.ru/patents/doc/SU1710982A1_19920207,SU1710982A1,,1990.01.30,1992.02.07
Возвратный механизм стрелкового оружия,https://yandex.ru/patents/doc/RU2763801C1_20220111,RU2763801C1,Власенко Валентин Викторович (RU),2021.11.01,2022.01.11
Способ совершения механической работы по...,https://yandex.ru/patents/doc/RU2279028C1_20060627,RU2279028C1,Афанасьев Георгий Леонардович (RU),2004.10.29,2006.06.27
Контейнер для хранения и транспортировки...,https://yandex.ru/patents/doc/RU161684U1_20160427,RU161684U1,Алексеев Герман Владимирович (RU),2015.11.05,2016.04.27
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2003115912A_20041227,RU2003115912A,,2003.05.27,2004.12.27
Спусковой механизм для спортивно-охотничьего...,https://yandex.ru/patents/doc/SU790892A1_19991220,SU790892A1,,1979.08.02,1999.12.20
Антизасадное оружие - 2 (варианты),https://yandex.ru/patents/doc/RU2019117307A_20201204,RU2019117307A,,2019.06.04,2020.12.04
Толкатель штанговый для транспортирования...,https://yandex.ru/patents/doc/RU206206U1_20210831,RU206206U1,Капашин Валерий Петрович (RU),2021.01.21,2021.08.31
Устройство имитации мишенной обстановки...,https://yandex.ru/patents/doc/RU2392574C1_20100620,RU2392574C1,Андриевский Леонид Григорьевич (RU),2008.11.17,2010.06.20
Способ защиты группового объекта от высокоточного...,https://yandex.ru/patents/doc/RU2401411C2_20101010,RU2401411C2,Шлома Лилия Владимировна (RU),2008.05.21,2010.10.10
Броневая защитная преграда от поражения...,https://yandex.ru/patents/doc/RU2060439C1_19960520,RU2060439C1,Емельянов Ю.А.,1992.08.07,1996.05.20
Пуля патрона стрелкового оружия,https://yandex.ru/patents/doc/RU2095741C1_19971110,RU2095741C1,,1992.11.30,1997.11.10
Пуля для гладкоствольного охотничьего...,https://yandex.ru/patents/doc/RU2357190C2_20090527,RU2357190C2,Бурдин Василий Васильевич (RU),2007.06.13,2009.05.27
Клинок фехтовального оружия,https://yandex.ru/patents/doc/SU1600617A3_19901015,SU1600617A3,ЖАН АНДРЕ БЕГОН,1987.11.09,1990.10.15
Патрон для спортивного и охотничьего оружия,https://yandex.ru/patents/doc/RU2147366C1_20000410,RU2147366C1,Хадисов М.А.,1997.07.23,2000.04.10
Способ получения сферических порохов для...,https://yandex.ru/patents/doc/RU2497790C1_20131110,RU2497790C1,Староверов Александр Александрович (RU),2012.05.11,2013.11.10
Надульник стрелкового оружия,https://yandex.ru/patents/doc/RU2549587C1_20150427,RU2549587C1,Громов Владимир Вячеславович (RU),2014.01.09,2015.04.27
Устройство для использования ручного...,https://yandex.ru/patents/doc/RU2399011C1_20100910,RU2399011C1,Тарасов Виктор Васильевич (RU),2009.03.19,2010.09.10
Приспособление к ручному огнестрельному...,https://yandex.ru/patents/doc/SU9476A1_19290531,SU9476A1,,1927.09.20,1929.05.31
ИМИТАТОР ОРУЖИЯ,https://yandex.ru/patents/doc/RU2422751C1_20110627,RU2422751C1,Махлин Радий Семенович (RU),2009.12.22,2011.06.27
Способ предохранения канала огнестрельного...,https://yandex.ru/patents/doc/SU25825A1_19320331,SU25825A1,,1928.04.26,1932.03.31
Безгильзовый патрон для огнестрельного...,https://yandex.ru/patents/doc/SU367622A3_19730123,SU367622A3,,1969.10.14,1973.01.23
Снаряд дистанционного электрошокового...,https://yandex.ru/patents/doc/RU105020U1_20110527,RU105020U1,Ладягин Юрий Олегович (RU),2010.12.16,2011.05.27
Механизм взвода спортивного стрелкового...,https://yandex.ru/patents/doc/RU2069296C1_19961120,RU2069296C1,Соболев Александр Александрович,1994.07.28,1996.11.20
"Устройство, предназначенное для приема стрелком...",https://yandex.ru/patents/doc/RU165421U1_20161020,RU165421U1,Бодренко Андрей Иванович (RU),2016.03.29,2016.10.20
Способ определения характеристик рассеивания...,https://yandex.ru/patents/doc/RU2564686C1_20151010,RU2564686C1,Ефанов Василий Васильевич (RU),2014.08.18,2015.10.10
"Способ ведения боевых действий, система...",https://yandex.ru/patents/doc/RU2004110354A_20051020,RU2004110354A,,2004.04.05,2005.10.20
Снаряд для нарезного огнестрельного оружия,https://yandex.ru/patents/doc/RU115883U1_20120510,RU115883U1,Волохов Валерий Анатольевич (RU),2010.10.04,2012.05.10
Механизм фиксации магазина стрелкового...,https://yandex.ru/patents/doc/RU2299392C1_20070520,RU2299392C1,Романов Георгий Александрович (RU),2005.12.06,2007.05.20
Охотничий патрон стрелкового оружия,https://yandex.ru/patents/doc/RU2094743C1_19971027,RU2094743C1,Калинин С.А.,1995.10.10,1997.10.27
Огнестрельное оружие с пворотным стволом,https://yandex.ru/patents/doc/RU2012108038A_20131027,RU2012108038A,,2010.09.09,2013.10.27
Способ получения сферического пороха для патронов...,https://yandex.ru/patents/doc/RU2495012C2_20131010,RU2495012C2,Староверов Александр Александрович (RU),2011.12.26,2013.10.10
Приспособление для подачи патронов в авто-...,https://yandex.ru/patents/doc/SU6361A1_19280929,SU6361A1,,1925.09.10,1928.09.29
Многорядный магазин стрелкового оружия,https://yandex.ru/patents/doc/RU2683921C1_20190402,RU2683921C1,Казанцев Иван Сергеевич (RU),2018.03.20,2019.04.02
Универсальное ручное многозарядное оружие,https://yandex.ru/patents/doc/RU2010131834A_20120210,RU2010131834A,,2010.07.29,2012.02.10
Патрон для гладкоствольного оружия,https://yandex.ru/patents/doc/RU2192611C2_20021110,RU2192611C2,Семенов А.Г.,2000.04.12,2002.11.10
Патрон к огнестрельному оружию,https://yandex.ru/patents/doc/RU93961U1_20100510,RU93961U1,Ведяев Валерий Яковлевич (RU),2009.10.27,2010.05.10
Оружие с быстросъемным прикладом,https://yandex.ru/patents/doc/RU93025539A_19950327,RU93025539A,,1993.04.27,1995.03.27
Патрон для смазки оружия (варианты),https://yandex.ru/patents/doc/RU98066U1_20100927,RU98066U1,Любачев Михаил Леонидович (RU),2010.04.16,2010.09.27
Затвор для стрелкового оружия,https://yandex.ru/patents/doc/RU2677165C1_20190115,RU2677165C1,Малиновский Александр Леонидович (RU),2017.12.18,2019.01.15
Приспособление к коленчатым шарнирным затворам...,https://yandex.ru/patents/doc/SU19097A1_19310131,SU19097A1,,1929.03.28,1931.01.31
Патрон для гладкоствольного оружия,https://yandex.ru/patents/doc/RU2005985C1_19940115,RU2005985C1,Раздобарин Е.А.,1990.06.25,1994.01.15
Магазин для спортивно-охотничьего оружия,https://yandex.ru/patents/doc/SU249974A1_19690805,SU249974A1,,1967.02.09,1969.08.05
Подвижная боевая машина с комплексом...,https://yandex.ru/patents/doc/RU2151360C1_20000620,RU2151360C1,Абрамовский Н.А.,1998.09.29,2000.06.20
Предохранительное устройство огнестрельного...,https://yandex.ru/patents/doc/RU2129249C1_19990420,RU2129249C1,Балуков М.Н.,1997.07.15,1999.04.20
Вкладной столик для гладкоствольного оружия,https://yandex.ru/patents/doc/SU1623356A1_19920807,SU1623356A1,,1988.08.29,1992.08.07
Механизм подачи патронной ленты в стрелковом...,https://yandex.ru/patents/doc/SU166258A1_19641110,SU166258A1,,1963.12.27,1964.11.10
Автоматика стрелкового оружия,https://yandex.ru/patents/doc/RU2565800C2_20151020,RU2565800C2,Ростовщиков Лев Фёдорович (RU),2014.03.12,2015.10.20
Магазин стрелкового оружия,https://yandex.ru/patents/doc/RU2422748C1_20110627,RU2422748C1,Злобин Владимир Викторович (RU),2010.03.01,2011.06.27
Способ маркировки стрелкового оружия,https://yandex.ru/patents/doc/RU2399005C1_20100910,RU2399005C1,Крупочкин Анатолий Владимирович (RU),2009.01.22,2010.09.10
Электрооптическое приспособление для обучения...,https://yandex.ru/patents/doc/SU184655A1_19660721,SU184655A1,,1965.05.20,1966.07.21
Скорострельное магазинное пневмогазовое...,https://yandex.ru/patents/doc/RU93015758A_19950627,RU93015758A,,1993.03.24,1995.06.27
Затвор для многозарядного стрелкового...,https://yandex.ru/patents/doc/RU2407972C1_20101227,RU2407972C1,КНЕППЛЕР Матиас (DE),2009.06.04,2010.12.27
Способ получения тонкосводного пороха для...,https://yandex.ru/patents/doc/RU2369587C2_20091010,RU2369587C2,Коновалов Владимир Иванович (RU),2007.11.01,2009.10.10
Цилиндрический затвор для многозарядного...,https://yandex.ru/patents/doc/SU7267A1_19281231,SU7267A1,,1926.09.13,1928.12.31
УСТАНОВКА ОРУЖИЯ,https://yandex.ru/patents/doc/RU2633829C2_20171018,RU2633829C2,Кузнецов Анатолий Гаврилович (RU),2016.03.22,2017.10.18
Устройство для установки контрольно-выверочного...,https://yandex.ru/patents/doc/RU130380U1_20130720,RU130380U1,Аксенов Валерий Анатольевич (RU),2012.12.07,2013.07.20
Артиллерийский снаряд к нарезному оружию,https://yandex.ru/patents/doc/RU2470255C2_20121220,RU2470255C2,Брызжев Александр Владимирович (RU),2010.08.27,2012.12.20
Прицел для легкого стрелкового оружия,https://yandex.ru/patents/doc/RU199038U1_20200811,RU199038U1,Волков Виктор Генрихович (RU),2020.03.20,2020.08.11
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2002106971A_20031220,RU2002106971A,,2002.03.20,2003.12.20
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2000126389A_20021210,RU2000126389A,,2000.10.19,2002.12.10
Пуля патрона стрелкового оружия (варианты),https://yandex.ru/patents/doc/RU2089840C1_19970910,RU2089840C1,,1995.08.15,1997.09.10
Выбрасывающий механизм стрелкового оружия,https://yandex.ru/patents/doc/RU131470U1_20130820,RU131470U1,Котт Артем Алексеевич (RU),2013.03.28,2013.08.20
Затвор огнестрельного оружия,https://yandex.ru/patents/doc/RU2182303C2_20020510,RU2182303C2,Симоненко В.Ю.,1999.11.04,2002.05.10
Регулятор давления пневматического оружия,https://yandex.ru/patents/doc/RU2260761C2_20050920,RU2260761C2,Калугин Н.А. (RU),2003.04.15,2005.09.20
Способ изготовления клинков спортивного...,https://yandex.ru/patents/doc/RU2037128C1_19950609,RU2037128C1,Агасьянц Геннадий Арутюнович,1992.07.20,1995.06.09
Затворный агрегат оружия,https://yandex.ru/patents/doc/RU2105261C1_19980220,RU2105261C1,Богданов Ю.М.,1996.11.04,1998.02.20
Артиллерийский снаряд для нарезного оружия,https://yandex.ru/patents/doc/RU165297U1_20161010,RU165297U1,Гуськов Анатолий Васильевич (RU),2015.12.14,2016.10.10
Устройство крепления магазина к оружию,https://yandex.ru/patents/doc/SU828802A1_19860107,SU828802A1,,1978.12.12,1986.01.07
Ударный механизм огнестрельного оружия,https://yandex.ru/patents/doc/RU2196950C1_20030120,RU2196950C1,Попович Е.А.,2002.01.10,2003.01.20
ЛОЖА ОРУЖИЯ,https://yandex.ru/patents/doc/RU2520175C2_20140620,RU2520175C2,Глухов Александр Владимирович (RU),2012.12.11,2014.06.20
Устройство для измерения парамет-POB дВижЕНия...,https://yandex.ru/patents/doc/SU814373A1_19810323,SU814373A1,,1979.04.26,1981.03.23
Способ метания ствольного снаряда за счет энергии...,https://yandex.ru/patents/doc/RU2671876C1_20181107,RU2671876C1,Павлов Сергей Николаевич (RU),2017.08.29,2018.11.07
Способ поражения наземных станций активных помех...,https://yandex.ru/patents/doc/RU2506522C2_20140210,RU2506522C2,Акиньшина Галина Николаевна (RU),2011.12.07,2014.02.10
Охотничий патрон стрелкового оружия,https://yandex.ru/patents/doc/RU2615584C1_20170405,RU2615584C1,Багров Алексей Анатольевич (RU),2016.01.26,2017.04.05
Патрон спортивный для гладкоствольного...,https://yandex.ru/patents/doc/RU2284449C2_20060927,RU2284449C2,Вавилов Олег Витальевич (RU),2004.08.03,2006.09.27
УСТАНОВКА ОРУЖИЯ,https://yandex.ru/patents/doc/RU2643621C2_20180202,RU2643621C2,Кузнецов Анатолий Гаврилович (RU),2015.12.02,2018.02.02
Ствол для огнестрельного оружия с газовой...,https://yandex.ru/patents/doc/RU2478895C1_20130410,RU2478895C1,Жирёхин Валерий Иванович (RU),2011.08.10,2013.04.10
Коллекционный макет ручного огнестрельного...,https://yandex.ru/patents/doc/RU13088U1_20000320,RU13088U1,Маслов С.П.,1999.10.12,2000.03.20
Выбрасыватель для револьверного оружия,https://yandex.ru/patents/doc/RU2188376C1_20020827,RU2188376C1,Серегин В.И.,2001.03.05,2002.08.27
Способ получения О-пинаколилметилфосфоната,https://yandex.ru/patents/doc/RU2613977C1_20170322,RU2613977C1,Капашин Валерий Петрович (RU),2015.11.30,2017.03.22
Система управления оружием,https://yandex.ru/patents/doc/RU2158024C1_20001020,RU2158024C1,Тарасов В.В.,1999.01.18,2000.10.20
Затвор оружия дьякова,https://yandex.ru/patents/doc/RU95100788A1_19970110,RU95100788A1,,1995.01.11,1997.01.10
Спусковой механизм стрелкового оружия,https://yandex.ru/patents/doc/RU2311601C1_20071127,RU2311601C1,Пушкин Николай Михайлович (RU),2006.03.24,2007.11.27
Замочный механизм огнестрельного оружия,https://yandex.ru/patents/doc/RU2170900C1_20010720,RU2170900C1,Негруленко В.И.,2000.01.27,2001.07.20
Способ получения сферического пороха для...,https://yandex.ru/patents/doc/RU2495011C2_20131010,RU2495011C2,Староверов Александр Александрович (RU),2011.12.26,2013.10.10
Метательное устройство пневматического...,https://yandex.ru/patents/doc/RU162718U1_20160627,RU162718U1,Калиниченко Андрей Яковлевич (RU),2015.12.17,2016.06.27
