Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
Имитатор ИР-60 для отладки корабельных цифровых...,https://yandex.ru/patents/doc/RU6251U1_19980316,RU6251U1,Аверин Н.А.,1997.02.17,1998.03.16
ЖИЛЕТ ЗАЩИТНЫЙ,https://yandex.ru/patents/doc/RU2090826C1_19970920,RU2090826C1,Быковская Т.В.,1988.07.04,1997.09.20
Универсальное почвообрабатывающее орудие,https://yandex.ru/patents/doc/RU2081525C1_19970620,RU2081525C1,Кузнецов Юрий Акимович[RU],1993.10.14,1997.06.20
Оптический прицел для стрелкового оружия,https://yandex.ru/patents/doc/RU96113888A_19981010,RU96113888A,,1996.07.15,1998.10.10
Способ нелетального лазерного воздействия на...,https://yandex.ru/patents/doc/RU2621223C1_20170601,RU2621223C1,Анцелевич Михаил Александрович (RU),2016.03.03,2017.06.01
Способ буксирования танка и устройство для его...,https://yandex.ru/patents/doc/RU2043206C1_19950910,RU2043206C1,Ваганов Валерий Александрович,1993.02.11,1995.09.10
Агромост ивана майсова,https://yandex.ru/patents/doc/RU2031560C1_19950327,RU2031560C1,Майсов Иван Александрович,1991.10.28,1995.03.27
Шахта для пусковых установок в водонасыщенных...,https://yandex.ru/patents/doc/RU159561U1_20160210,RU159561U1,Сапожников Адольф Иосифович (RU),2014.12.19,2016.02.10
ТРАССИРУЮЩАЯ ПУЛЯ,https://yandex.ru/patents/doc/RU2082947C1_19970627,RU2082947C1,,1994.08.25,1997.06.27
Складной многофункциональный нож,https://yandex.ru/patents/doc/RU2011510C1_19940430,RU2011510C1,Михалев Ю.Н.,1991.03.11,1994.04.30
Способ и устройство акустического воздействия на...,https://yandex.ru/patents/doc/RU2444190C1_20120310,RU2444190C1,Щербаков Григорий Николаевич (RU),2010.07.15,2012.03.10
Боевой модуль зенитного самоходного комплекса,https://yandex.ru/patents/doc/RU2331832C2_20080820,RU2331832C2,Слугин Валерий Георгиевич (RU),2006.10.05,2008.08.20
Устройство для запуска ракет,https://yandex.ru/patents/doc/RU2318172C1_20080227,RU2318172C1,Кириленко Николай Яковлевич (RU),2006.08.08,2008.02.27
Устройство для запуска ракет,https://yandex.ru/patents/doc/RU2275578C1_20060427,RU2275578C1,Кириленко Николай Яковлевич (RU),2004.11.18,2006.04.27
Система безопасности самолета,https://yandex.ru/patents/doc/RU43674U1_20050127,RU43674U1,Куделькин В.А. (RU),2004.01.29,2005.01.27
Ударно-спусковой механизм двуствольного ружья,https://yandex.ru/patents/doc/RU42101U1_20041120,RU42101U1,Хлынин Р.Д. (RU),2004.08.12,2004.11.20
Поточная линия для изготовления изделий,https://yandex.ru/patents/doc/SU677861A1_19790805,SU677861A1,,1977.05.20,1979.08.05
Система внешней подвески к вертолету,https://yandex.ru/patents/doc/RU13789U1_20000527,RU13789U1,Бороздин С.В.,2000.03.06,2000.05.27
ПИСТОЛЕТ,https://yandex.ru/patents/doc/RU2089814C1_19970910,RU2089814C1,Ярыгин В.А.,1994.02.18,1997.09.10
ПИСТОЛЕТ (РЕВОЛЬВЕР),https://yandex.ru/patents/doc/RU64752U1_20070710,RU64752U1,Габдрахманов Рафаил Рахимзянович (RU),2007.02.12,2007.07.10
Почвообрабатывающее орудие,https://yandex.ru/patents/doc/SU1806500A1_19930407,SU1806500A1,,1991.02.28,1993.04.07
Охотничья пуля Кочкина,https://yandex.ru/patents/doc/SU1799458A3_19930228,SU1799458A3,КОЧКИН СЕРГЕЙ МИХАЙЛОВИЧ,1990.01.22,1993.02.28
Узел бойка охотничьего ружья,https://yandex.ru/patents/doc/SU1042421A1_19870923,SU1042421A1,,1981.06.02,1987.09.23
Устройство стабилизации глубины глубоководного...,https://yandex.ru/patents/doc/RU2290339C2_20061227,RU2290339C2,Борисов Сергей Петрович (RU),2004.12.06,2006.12.27
Автоматический предохранительный механизм...,https://yandex.ru/patents/doc/SU981823A1_19821215,SU981823A1,,1981.05.13,1982.12.15
Пневматическое ружье для подводной охоты,https://yandex.ru/patents/doc/SU981822A1_19821215,SU981822A1,,1981.05.25,1982.12.15
Устройство запирания ствольной муфты,https://yandex.ru/patents/doc/RU2234657C1_20040820,RU2234657C1,Пушкин Н.М. (RU),2003.05.14,2004.08.20
Способ нанесения маркировочной системы на...,https://yandex.ru/patents/doc/RU2009132792A_20110310,RU2009132792A,,2009.09.02,2011.03.10
Механизм гибки колец на концах проводов,https://yandex.ru/patents/doc/SU341568A1_19720614,SU341568A1,,1971.01.15,1972.06.14
Телескопическая пружина с регулируемым усилием,https://yandex.ru/patents/doc/RU2744526C2_20210311,RU2744526C2,"КРОСС, Дэвид (CA)",2017.10.13,2021.03.11
Пистолет с заниженным стволом,https://yandex.ru/patents/doc/RU2696679C1_20190805,RU2696679C1,Луканский Ян (SK),2017.06.14,2019.08.05
Способ сборки и устройство двуствольного пулемета...,https://yandex.ru/patents/doc/RU2687334C1_20190513,RU2687334C1,Котляр Иван Максимович (RU),2018.04.06,2019.05.13
Двигательно-движительная установка подводного...,https://yandex.ru/patents/doc/RU2015157393A_20170705,RU2015157393A,,2015.12.31,2017.07.05
Винтовка турлакова n 6 (разборная),https://yandex.ru/patents/doc/RU2715819C1_20200303,RU2715819C1,Турлаков Максим Сергеевич (RU),2019.09.10,2020.03.03
Устройство предупреждения поражения стрелковым...,https://yandex.ru/patents/doc/RU2006128816A_20080220,RU2006128816A,,2006.08.08,2008.02.20
Конструкция пиротехнического заряда,https://yandex.ru/patents/doc/RU2287512C2_20061120,RU2287512C2,БИСЕРЁД Ханс Б. (NO),2001.11.13,2006.11.20
ПОДСТВОЛЬНЫЙ ГРАНАТОМЕТ,https://yandex.ru/patents/doc/RU2317509C1_20080220,RU2317509C1,Грязев Василий Петрович (RU),2006.05.29,2008.02.20
Композиционный броневой щит,https://yandex.ru/patents/doc/RU136151U1_20131227,RU136151U1,Васильев Игорь Михайлович (RU),2013.07.24,2013.12.27
Механизм переключения камор магазина,https://yandex.ru/patents/doc/RU2609621C1_20170202,RU2609621C1,Горелик Михаил Львович (RU),2015.09.29,2017.02.02
Кобура для пистолета,https://yandex.ru/patents/doc/RU2757687C1_20211020,RU2757687C1,Толстоухов Владимир Петрович (RU),2021.03.30,2021.10.20
Комбинированная ложная цель,https://yandex.ru/patents/doc/RU201285U1_20201208,RU201285U1,Игнатьев Роман Николаевич (RU),2020.03.11,2020.12.08
Охотничий универсальный карабин,https://yandex.ru/patents/doc/SU802778A1_19810207,SU802778A1,,1979.03.28,1981.02.07
Способ очистки автотрассы во время снегопада,https://yandex.ru/patents/doc/RU2655733C1_20180529,RU2655733C1,Ефимочкин Анатолий Павлович (RU),2017.10.18,2018.05.29
Воспламенительный состав,https://yandex.ru/patents/doc/RU2627409C1_20170808,RU2627409C1,Зинатуллина Диана Борисовна (RU),2016.02.16,2017.08.08
Составная оружейная гильза для снаряда,https://yandex.ru/patents/doc/RU2597934C2_20160920,RU2597934C2,Пастухов Евгений Григорьевич (RU),2015.01.16,2016.09.20
Регулируемый кронштейн прицела,https://yandex.ru/patents/doc/RU2215969C2_20031110,RU2215969C2,Низов Н.К.,2001.09.20,2003.11.10
